date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:45:49	46164/46164	---M-Z	200	added ('OK')	text/html	date:Sat,%2012%20May%202018%2006:16:02%20GMT	http://mourithemes.com/mason/mason/index-particles.html	C:/Users/akash/Desktop/brickspace/beamspace/mourithemes.com/mason/mason/index-particles.html	(from )
16:45:50	327/327	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2024%20Feb%202019%2009:46:07%20GMT	http://mourithemes.com/robots.txt		(from )
16:45:51	1871/1871	---M--	200	added ('OK')	image/png	date:Sat,%2012%20May%202018%2006:16:46%20GMT	http://mourithemes.com/mason/mason/favicon/apple-icon-57x57.png	C:/Users/akash/Desktop/brickspace/beamspace/mourithemes.com/mason/mason/favicon/apple-icon-57x57.png	(from http://mourithemes.com/mason/mason/index-particles.html)
16:45:52	1906/1906	---M--	200	added ('OK')	image/png	date:Sat,%2012%20May%202018%2006:16:47%20GMT	http://mourithemes.com/mason/mason/favicon/apple-icon-60x60.png	C:/Users/akash/Desktop/brickspace/beamspace/mourithemes.com/mason/mason/favicon/apple-icon-60x60.png	(from http://mourithemes.com/mason/mason/index-particles.html)
16:45:52	2127/2127	---M--	200	added ('OK')	image/png	date:Sat,%2012%20May%202018%2006:16:47%20GMT	http://mourithemes.com/mason/mason/favicon/apple-icon-72x72.png	C:/Users/akash/Desktop/brickspace/beamspace/mourithemes.com/mason/mason/favicon/apple-icon-72x72.png	(from http://mourithemes.com/mason/mason/index-particles.html)
16:45:53	2173/2173	---M--	200	added ('OK')	image/png	date:Sat,%2012%20May%202018%2006:16:48%20GMT	http://mourithemes.com/mason/mason/favicon/apple-icon-76x76.png	C:/Users/akash/Desktop/brickspace/beamspace/mourithemes.com/mason/mason/favicon/apple-icon-76x76.png	(from http://mourithemes.com/mason/mason/index-particles.html)
16:45:54	3674/3674	---M--	200	added ('OK')	image/png	date:Sat,%2012%20May%202018%2006:16:43%20GMT	http://mourithemes.com/mason/mason/favicon/apple-icon-114x114.png	C:/Users/akash/Desktop/brickspace/beamspace/mourithemes.com/mason/mason/favicon/apple-icon-114x114.png	(from http://mourithemes.com/mason/mason/index-particles.html)
16:45:55	3912/3912	---M--	200	added ('OK')	image/png	date:Sat,%2012%20May%202018%2006:16:43%20GMT	http://mourithemes.com/mason/mason/favicon/apple-icon-120x120.png	C:/Users/akash/Desktop/brickspace/beamspace/mourithemes.com/mason/mason/favicon/apple-icon-120x120.png	(from http://mourithemes.com/mason/mason/index-particles.html)
16:45:57	4818/4818	---M--	200	added ('OK')	image/png	date:Sat,%2012%20May%202018%2006:16:44%20GMT	http://mourithemes.com/mason/mason/favicon/apple-icon-144x144.png	C:/Users/akash/Desktop/brickspace/beamspace/mourithemes.com/mason/mason/favicon/apple-icon-144x144.png	(from http://mourithemes.com/mason/mason/index-particles.html)
16:45:57	5085/5085	---M--	200	added ('OK')	image/png	date:Sat,%2012%20May%202018%2006:16:45%20GMT	http://mourithemes.com/mason/mason/favicon/apple-icon-152x152.png	C:/Users/akash/Desktop/brickspace/beamspace/mourithemes.com/mason/mason/favicon/apple-icon-152x152.png	(from http://mourithemes.com/mason/mason/index-particles.html)
16:45:58	6276/6276	---M--	200	added ('OK')	image/png	date:Sat,%2012%20May%202018%2006:16:46%20GMT	http://mourithemes.com/mason/mason/favicon/apple-icon-180x180.png	C:/Users/akash/Desktop/brickspace/beamspace/mourithemes.com/mason/mason/favicon/apple-icon-180x180.png	(from http://mourithemes.com/mason/mason/index-particles.html)
16:45:59	5929/5929	---M--	200	added ('OK')	image/png	date:Sat,%2012%20May%202018%2006:16:39%20GMT	http://mourithemes.com/mason/mason/favicon/android-icon-192x192.png	C:/Users/akash/Desktop/brickspace/beamspace/mourithemes.com/mason/mason/favicon/android-icon-192x192.png	(from http://mourithemes.com/mason/mason/index-particles.html)
16:46:00	1408/1408	---M--	200	added ('OK')	image/png	date:Sat,%2012%20May%202018%2006:16:52%20GMT	http://mourithemes.com/mason/mason/favicon/favicon-32x32.png	C:/Users/akash/Desktop/brickspace/beamspace/mourithemes.com/mason/mason/favicon/favicon-32x32.png	(from http://mourithemes.com/mason/mason/index-particles.html)
16:46:00	3141/3141	---M--	200	added ('OK')	image/png	date:Sat,%2012%20May%202018%2006:16:52%20GMT	http://mourithemes.com/mason/mason/favicon/favicon-96x96.png	C:/Users/akash/Desktop/brickspace/beamspace/mourithemes.com/mason/mason/favicon/favicon-96x96.png	(from http://mourithemes.com/mason/mason/index-particles.html)
16:46:01	1079/1079	---M--	200	added ('OK')	image/png	date:Sat,%2012%20May%202018%2006:16:51%20GMT	http://mourithemes.com/mason/mason/favicon/favicon-16x16.png	C:/Users/akash/Desktop/brickspace/beamspace/mourithemes.com/mason/mason/favicon/favicon-16x16.png	(from http://mourithemes.com/mason/mason/index-particles.html)
16:46:02	720/720	---M--	200	added ('OK')	application/json	date:Sat,%2012%20May%202018%2006:16:53%20GMT	http://mourithemes.com/mason/mason/favicon/manifest.json	C:/Users/akash/Desktop/brickspace/beamspace/mourithemes.com/mason/mason/favicon/manifest.json	(from http://mourithemes.com/mason/mason/index-particles.html)
16:46:02	4818/4818	---M--	200	added ('OK')	image/png	date:Sat,%2012%20May%202018%2006:16:54%20GMT	http://mourithemes.com/mason/mason/favicon/ms-icon-144x144.png	C:/Users/akash/Desktop/brickspace/beamspace/mourithemes.com/mason/mason/favicon/ms-icon-144x144.png	(from http://mourithemes.com/mason/mason/index-particles.html)
16:46:04	31000/31000	---M--	200	added ('OK')	text/css	date:Sat,%2012%20May%202018%2006:16:30%20GMT	http://mourithemes.com/mason/mason/css/font-awesome.min.css	C:/Users/akash/Desktop/brickspace/beamspace/mourithemes.com/mason/mason/css/font-awesome.min.css	(from http://mourithemes.com/mason/mason/index-particles.html)
16:46:06	12690/12690	---M--	200	added ('OK')	text/css	date:Sat,%2012%20May%202018%2006:16:30%20GMT	http://mourithemes.com/mason/mason/css/jquery.animatedheadline.css	C:/Users/akash/Desktop/brickspace/beamspace/mourithemes.com/mason/mason/css/jquery.animatedheadline.css	(from http://mourithemes.com/mason/mason/index-particles.html)
16:46:07	121200/121200	---M--	200	added ('OK')	text/css	date:Sat,%2012%20May%202018%2006:16:28%20GMT	http://mourithemes.com/mason/mason/css/bootstrap.min.css	C:/Users/akash/Desktop/brickspace/beamspace/mourithemes.com/mason/mason/css/bootstrap.min.css	(from http://mourithemes.com/mason/mason/index-particles.html)
16:46:09	71552/71552	---M--	200	added ('OK')	text/css	date:Sat,%2012%20May%202018%2006:16:28%20GMT	http://mourithemes.com/mason/mason/css/animate.css	C:/Users/akash/Desktop/brickspace/beamspace/mourithemes.com/mason/mason/css/animate.css	(from http://mourithemes.com/mason/mason/index-particles.html)
16:46:09	4400/4400	---M--	200	added ('OK')	text/css	date:Sat,%2012%20May%202018%2006:16:33%20GMT	http://mourithemes.com/mason/mason/css/owl.carousel.css	C:/Users/akash/Desktop/brickspace/beamspace/mourithemes.com/mason/mason/css/owl.carousel.css	(from http://mourithemes.com/mason/mason/index-particles.html)
16:46:09	1380/1380	---M--	200	added ('OK')	text/css	date:Sat,%2012%20May%202018%2006:16:32%20GMT	http://mourithemes.com/mason/mason/css/owl.theme.default.css	C:/Users/akash/Desktop/brickspace/beamspace/mourithemes.com/mason/mason/css/owl.theme.default.css	(from http://mourithemes.com/mason/mason/index-particles.html)
16:46:10	6951/6951	---M--	200	added ('OK')	text/css	date:Sat,%2012%20May%202018%2006:16:31%20GMT	http://mourithemes.com/mason/mason/css/magnific-popup.css	C:/Users/akash/Desktop/brickspace/beamspace/mourithemes.com/mason/mason/css/magnific-popup.css	(from http://mourithemes.com/mason/mason/index-particles.html)
16:46:11	7719/7719	---M--	200	added ('OK')	text/css	date:Sat,%2012%20May%202018%2006:16:31%20GMT	http://mourithemes.com/mason/mason/css/normalize.css	C:/Users/akash/Desktop/brickspace/beamspace/mourithemes.com/mason/mason/css/normalize.css	(from http://mourithemes.com/mason/mason/index-particles.html)
16:46:12	17365/17365	---M--	200	added ('OK')	text/css	date:Sat,%2012%20May%202018%2006:16:34%20GMT	http://mourithemes.com/mason/mason/css/style.css	C:/Users/akash/Desktop/brickspace/beamspace/mourithemes.com/mason/mason/css/style.css	(from http://mourithemes.com/mason/mason/index-particles.html)
